Fri Feb 12 2021 10:39:03 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-1.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 10:41:57 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-4.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 10:41:57 GMT+0000 (Greenwich Mean Time) error: ENOENT: no such file or directory, rename './emails/emails-4.csv' -> 'errored/emails-4.csv'
Fri Feb 12 2021 10:41:58 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-1.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 10:41:58 GMT+0000 (Greenwich Mean Time) error: ENOENT: no such file or directory, rename './emails/emails-1.csv' -> 'errored/emails-1.csv'
Fri Feb 12 2021 10:44:01 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-6.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 10:44:01 GMT+0000 (Greenwich Mean Time) error: ENOENT: no such file or directory, rename './emails/emails-6.csv' -> 'errored/emails-6.csv'
Fri Feb 12 2021 10:44:03 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-5.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 10:44:03 GMT+0000 (Greenwich Mean Time) error: ENOENT: no such file or directory, rename './emails/emails-5.csv' -> 'processed/emails-5.csv'
Fri Feb 12 2021 10:59:29 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-1.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 10:59:35 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-5.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 11:01:01 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-5.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 11:01:08 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-6.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 11:01:14 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-4.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 11:01:17 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-1.csv- CustomerId: email - Response data: {"Message":{"Error":"AuthUnexpectedMigrationError: Error Response from Auth"},"Success":false}
Fri Feb 12 2021 11:03:17 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-1.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:08:02 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-6.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:08:04 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-5.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:08:19 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-4.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:08:19 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-1.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:51:30 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-1.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:51:33 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-6.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:51:38 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-4.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:51:40 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-5.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:54:18 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-6.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:54:18 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-1.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:54:22 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-4.csv- CustomerId: email - Response data: Request failed with status code 500
Fri Feb 12 2021 11:54:27 GMT+0000 (Greenwich Mean Time) error: Error with file: ./emails/emails-5.csv- CustomerId: email - Response data: Request failed with status code 500
